"","long","lat","group","order","region","subregion"
"1",-123.01976776123,48.5696334838867,56,14219,"washington","san juan island"
"2",-123.054153442383,48.6154708862305,56,14220,"washington","san juan island"
"3",-123.094253540039,48.6097373962402,56,14221,"washington","san juan island"
"4",-123.094253540039,48.5810890197754,56,14222,"washington","san juan island"
"5",-123.117164611816,48.5638999938965,56,14223,"washington","san juan island"
"6",-123.111442565918,48.5352554321289,56,14224,"washington","san juan island"
"7",-123.088516235352,48.5008773803711,56,14225,"washington","san juan island"
"8",-123.065612792969,48.4836883544922,56,14226,"washington","san juan island"
"9",-123.042686462402,48.4779586791992,56,14227,"washington","san juan island"
"10",-123.008308410645,48.4779586791992,56,14228,"washington","san juan island"
"11",-122.962478637695,48.4378509521484,56,14229,"washington","san juan island"
"12",-122.939552307129,48.4550437927246,56,14230,"washington","san juan island"
"13",-122.968200683594,48.4951477050781,56,14231,"washington","san juan island"
"14",-122.939552307129,48.51806640625,56,14232,"washington","san juan island"
"15",-122.968200683594,48.5352554321289,56,14233,"washington","san juan island"
"16",-122.985397338867,48.5467147827148,56,14234,"washington","san juan island"
"17",-123.01976776123,48.5696334838867,56,14235,"washington","san juan island"
"18",-122.82495880127,48.4034729003906,57,14237,"washington","lopez island"
"19",-122.796310424805,48.4092063903809,57,14238,"washington","lopez island"
"20",-122.76766204834,48.4092063903809,57,14239,"washington","lopez island"
"21",-122.756202697754,48.4378509521484,57,14240,"washington","lopez island"
"22",-122.77912902832,48.4550437927246,57,14241,"washington","lopez island"
"23",-122.802047729492,48.4550437927246,57,14242,"washington","lopez island"
"24",-122.819229125977,48.4779586791992,57,14243,"washington","lopez island"
"25",-122.819229125977,48.523796081543,57,14244,"washington","lopez island"
"26",-122.836418151855,48.5409812927246,57,14245,"washington","lopez island"
"27",-122.859336853027,48.51806640625,57,14246,"washington","lopez island"
"28",-122.859336853027,48.5008773803711,57,14247,"washington","lopez island"
"29",-122.887985229492,48.4951477050781,57,14248,"washington","lopez island"
"30",-122.887985229492,48.4607696533203,57,14249,"washington","lopez island"
"31",-122.870803833008,48.4435806274414,57,14250,"washington","lopez island"
"32",-122.836418151855,48.4321250915527,57,14251,"washington","lopez island"
"33",-122.842155456543,48.4149360656738,57,14252,"washington","lopez island"
"34",-122.82495880127,48.4034729003906,57,14253,"washington","lopez island"
"35",-122.76766204834,48.6097373962402,58,14255,"washington","orcas island"
"36",-122.750480651855,48.6383895874023,58,14256,"washington","orcas island"
"37",-122.716094970703,48.655574798584,58,14257,"washington","orcas island"
"38",-122.727554321289,48.6784934997559,58,14258,"washington","orcas island"
"39",-122.76766204834,48.6842231750488,58,14259,"washington","orcas island"
"40",-122.836418151855,48.7128715515137,58,14260,"washington","orcas island"
"41",-122.882263183594,48.7186012268066,58,14261,"washington","orcas island"
"42",-122.887985229492,48.6784934997559,58,14262,"washington","orcas island"
